driverId,raceId,totaltime,avglaptime,lapnum,lapnummax,position,q1,q2,q3,prop,constructorId,year,budget,circuitId,Weather,qfastest,totallap,fastestLapSpeed
1,1038,6443.301,121.57171698113207,53,53,1,01:19.5,01:19.1,01:18.9,1,131,2020,426,14,0,78.9,1573.178,252.033
1,1039,8375.06,141.95016949152543,59,59,1,01:15.8,01:15.3,01:15.1,1,131,2020,426,76,0,75.1,2800.388,239.518
1,1040,5663.093,106.85081132075472,53,53,1,01:33.0,01:32.8,01:31.3,1,131,2020,426,71,0,91.3,41.352,214.66
1,1041,5749.641,95.82735,60,60,2,01:26.6,01:25.4,01:25.5,0.947368421,131,2020,426,20,0,85.4,47.163,210.253
1,1042,5396.828,81.77012121212121,66,66,1,01:16.8,01:16.8,01:16.7,1,131,2020,426,75,0,76.7,27.162,212.708
1,1043,5312.43,84.32428571428571,63,63,2,01:14.2,01:14.6,01:13.7,0.947368421,131,2020,426,21,0,73.7,61.307,234.121
1,1044,6139.313,105.85022413793104,58,58,6,02:07.6,01:52.7,01:52.6,0.736842105,131,2020,426,5,1,112.6,23.86,193.302
1,1045,7187.515,126.09675438596491,57,57,1,01:28.3,01:27.6,01:27.3,1,131,2020,426,3,0,87.3,1212.385,209.803
1,1047,5807.0599999999995,105.58290909090908,55,55,3,01:35.5,01:35.5,01:35.3,0.894736842,131,2020,426,24,0,95.3,22.406,197.144
1,1051,5068.4710000000005,88.92054385964913,57,57,1,01:21.9,01:21.7,01:20.8,1,131,2021,215.96,78,0,80.8,50.616,227.633
1,1052,5523.897,98.64101785714286,56,56,2,01:30.6,01:30.1,01:29.4,0.947368421,131,2021,215.96,3,0,89.4,48.915,207.235
1,1053,7376.598,117.08885714285714,63,63,1,01:14.8,01:14.8,01:14.4,1,131,2021,215.96,21,1,74.4,1630.911,230.403
1,1054,5671.421,85.93062121212121,66,66,2,01:18.9,01:18.0,01:18.4,0.947368421,131,2021,215.96,75,0,78,71.497,206.971
1,1055,5587.68,84.66181818181818,66,66,1,01:18.2,01:17.2,01:16.7,1,131,2021,215.96,4,0,76.7,44.298,208.64
1,1056,6005.051,76.98783333333333,78,78,7,01:11.6,01:11.1,01:11.1,0.666666667,131,2021,215.96,6,0,71.1,48.027,164.769
1,1057,8034.078,157.53094117647058,51,51,2,01:41.5,01:41.6,01:41.5,0.947368421,131,2021,215.96,73,0,101.5,2038.825,206.27
1,1058,4974.668,70.06574647887324,71,71,3,01:04.7,01:04.5,01:04.1,0.894736842,131,2021,215.96,70,0,64.1,42.859,231.811
1,1059,5248.674,99.03158490566038,53,53,2,01:31.2,01:30.8,01:30.2,0.947368421,131,2021,215.96,34,0,90.2,30.263,215.903
1,1060,5080.995,71.56330985915493,71,71,4,01:04.5,01:04.3,01:04.0,0.842105263,131,2021,215.96,70,0,64,42.426,228.177
1,1061,7103.284000000001,136.6016153846154,52,52,1,01:26.8,01:26.0,01:26.1,1,131,2021,215.96,9,0,86,2088.642,236.43
1,1062,7485.935,106.94192857142858,70,70,1,01:16.4,01:16.6,01:15.4,1,131,2021,215.96,11,1,75.4,1513.714,200.363
1,1064,5426.327,75.36565277777778,72,72,2,01:10.1,01:09.7,01:08.9,0.947368421,131,2021,215.96,39,0,68.9,57.84,215.654
1,1066,5441.001,102.66039622641509,53,53,4,01:46.0,01:45.1,01:44.1,0.842105263,131,2021,215.96,71,1,104.1,59.923,215.76
1,1067,5505.915,94.92956896551725,58,58,1,01:24.6,01:23.1,01:22.9,1,131,2021,215.96,5,1,82.9,22.684,207.16
